Country/Territory,UN Region,IMF Estimate (2022),World Bank Estimate (2021),United Nations Estimate (2020)
World,World,101560901,96513077,85328323
United States,Americas,25035164,22996100,20893746
China,Asia,18321197,17734063,14722801
Japan,Asia,4300621,4937422,5057759
Germany,Europe,4031149,4223116,3846414
India,Asia,3468566,3173398,2664749
United Kingdom,Europe,3198470,3186860,2764198
France,Europe,2778090,2937473,2630318
Canada,Americas,2200352,1988336,1644037
Russia,Europe,2133092,1775800,1483498
Italy,Europe,1996934,2107703,1888709
Iran,Asia,1973738,359713,939316
Brazil,Americas,1894708,1608981,1444733
South Korea,Asia,1734207,1798534,1637896
Australia,Oceania,1724787,1542660,1423473
Mexico,Americas,1424533,1293038,1073439
Spain,Europe,1389927,1425277,1281485
Indonesia,Asia,1289429,1186093,1058424
Saudi Arabia,Asia,1010588,833541,700118
Netherlands,Europe,990583,1018007,913865
Turkey,Asia,853487,815272,720098
Taiwan,Asia,828659,0,669324
Switzerland,Europe,807418,812867,752248
Poland,Europe,716305,674048,596618
Argentina,Americas,630698,491493,383067
Sweden,Europe,603922,627438,541064
Belgium,Europe,589491,599879,521861
Thailand,Asia,534758,505982,501795
Israel,Asia,527179,481591,407101
Ireland,Europe,519776,498560,425889
Norway,Europe,504703,482437,362522
Nigeria,Africa,504203,440777,429899
United Arab Emirates,Asia,503913,358869,358869
Egypt,Africa,469094,404143,369309
Austria,Europe,468046,477083,433258
Bangladesh,Asia,460751,416265,329484
Malaysia,Asia,434059,372701,336664
Singapore,Asia,423632,396987,339988
Vietnam,Asia,413808,362638,271158
South Africa,Africa,411480,419946,302141
Philippines,Asia,401662,394086,361489
Denmark,Europe,386724,397104,356085
Pakistan,Asia,376493,346343,257829
Hong Kong,Asia,368373,368139,349445
Colombia,Americas,342919,314323,271347
Chile,Americas,310866,317059,252940
Romania,Europe,299885,284088,248716
Czech Republic,Europe,296238,282341,245349
Iraq,Asia,282876,207889,166757
Finland,Europe,281411,299155,269751
Portugal,Europe,255854,249887,228539
New Zealand,Oceania,242700,249992,212044
Peru,Americas,239333,223250,203196
Kazakhstan,Asia,224338,190814,171082
Greece,Europe,222008,216241,188835
Qatar,Asia,221369,179571,146401
Ukraine,Europe,199719,200086,155582
Algeria,Africa,187155,167983,147689
Hungary,Europe,184651,182281,155808
Kuwait,Asia,183568,105960,105949
Morocco,Africa,142874,132725,114724
Angola,Africa,124794,72547,62307
Puerto Rico,Americas,118677,106526,103138
Ecuador,Americas,115469,106166,98808
Kenya,Africa,114858,110347,101014
Slovakia,Europe,112418,114871,105173
Dominican Republic,Americas,112417,94244,78845
Ethiopia,Africa,111181,111271,96611
Oman,Asia,108969,85869,63368
Cuba,Americas,0,107352,107352
Guatemala,Americas,91318,85986,77605
Bulgaria,Europe,85008,80271,69888
Luxembourg,Europe,82154,86711,73353
Venezuela,Americas,82145,482359,106359
Belarus,Europe,79704,68219,60259
Uzbekistan,Asia,79117,69239,57707
Tanzania,Africa,76582,67775,64740
Ghana,Africa,75996,77594,68532
Turkmenistan,Asia,74439,45231,42845
Sri Lanka,Asia,73739,84519,80677
Uruguay,Americas,71161,59320,53629
Panama,Americas,71085,63605,52938
Azerbaijan,Asia,70066,54622,42607
Croatia,Europe,69380,67838,57204
Ivory Coast,Africa,68630,69765,61143
Costa Rica,Americas,68489,64282,61521
Lithuania,Europe,68031,65504,56547
DR Congo,Africa,63909,53959,45308
Serbia,Europe,62721,63068,53335
Slovenia,Europe,62191,61526,53590
Myanmar,Asia,59530,65068,70284
Uganda,Africa,48352,40435,38702
Jordan,Asia,48066,45244,43697
Tunisia,Africa,46282,46840,39218
Cameroon,Africa,44212,45239,39881
Bahrain,Asia,43544,38869,33904
Bolivia,Americas,43431,40408,36573
Sudan,Africa,42762,34326,62057
Paraguay,Americas,41855,38987,35304
Libya,Africa,40836,41880,29153
Latvia,Europe,40588,38873,33707
Estonia,Europe,39054,36263,30650
Nepal,Asia,39028,36289,33079
Zimbabwe,Africa,38280,26218,21787
El Salvador,Americas,31989,28737,24639
Papua New Guinea,Oceania,31362,26594,23619
Honduras,Americas,30568,28489,23828
Trinidad and Tobago,Americas,29337,21392,21393
Cambodia,Asia,28330,26961,25291
Iceland,Europe,27702,25459,21718
Yemen,Asia,27594,21062,27958
Senegal,Africa,27542,27625,24412
Zambia,Africa,27025,21203,18111
Cyprus,Asia,26705,27719,24612
Georgia,Europe,25172,18700,15892
Bosnia and Herzegovina,Europe,23681,22572,19801
Macau,Asia,23420,29905,24333
Gabon,Africa,22221,18269,15111
Haiti,Americas,20182,20944,15505
Afghanistan,Asia,20136,14787,19793
Guinea,Africa,19745,15851,15490
Palestine,Asia,19698,18037,15561
Brunei,Asia,18464,14007,12003
Mali,Africa,18434,19144,17332
Burkina Faso,Africa,18268,19738,17369
Albania,Europe,18256,18260,14910
Lebanon,Asia,24494,18077,63546
Botswana,Africa,18005,17614,15782
Mozambique,Africa,17873,16096,14029
Armenia,Asia,17693,13861,12641
Benin,Africa,17547,17786,15205
Malta,Europe,17156,17190,14911
Equatorial Guinea,Africa,16877,12269,10022
Laos,Asia,16250,18827,19082
Jamaica,Americas,16104,13638,13812
North Korea,Asia,0,0,15847
Mongolia,Asia,15720,15098,13137
Nicaragua,Americas,15695,14013,12621
Syria,Asia,0,11080,15572
Madagascar,Africa,15106,14637,13008
Guyana,Americas,14839,7409,5471
Niger,Africa,14639,14951,13741
Congo,Africa,14486,12524,10100
North Macedonia,Europe,14101,13879,12264
Moldova,Europe,14048,13679,11914
Chad,Africa,12945,11780,11154
Bahamas,Americas,12693,11209,9908
Namibia,Africa,12488,12236,10710
Rwanda,Africa,12098,11070,10332
Malawi,Africa,11554,12627,11762
Mauritius,Africa,11497,11157,10921
Mauritania,Africa,10091,8228,7916
Tajikistan,Asia,9983,8746,7997
Kyrgyzstan,Asia,9750,8543,7736
New Caledonia,Oceania,0,10071,9709
Kosovo,Europe,9242,9007,7734
Somalia,Africa,8416,7293,1873
Togo,Africa,8359,8413,7146
Bermuda,Americas,0,7081,7719
Liechtenstein,Europe,0,6114,6872
Monaco,Europe,0,8596,6816
Cayman Islands,Americas,0,5898,6256
Montenegro,Europe,6127,5809,4789
Maldives,Asia,5900,4890,3743
Guam,Oceania,0,6123,0
Barbados,Americas,5788,4901,4440
French Polynesia,Oceania,0,6055,5817
Fiji,Oceania,4859,4592,4494
South Sudan,Africa,4784,11998,15903
Eswatini,Africa,4669,4941,3835
Sierra Leone,Africa,4101,4200,3787
Liberia,Africa,3900,3487,2481
Djibouti,Africa,3725,3371,3423
Burundi,Africa,3686,2902,3399
Aruba,Americas,3499,3126,2497
Andorra,Europe,3302,3330,2864
Greenland,Americas,0,3076,3130
Suriname,Americas,3011,2862,4120
Bhutan,Asia,2707,2540,2483
Belize,Americas,2676,1790,1586
Lesotho,Africa,2507,2519,2273
Curaçao,Americas,0,2700,2596
Central African Republic,Africa,2488,2517,2323
East Timor,Asia,2455,1959,1902
Eritrea,Africa,2369,2065,2084
Gambia,Africa,2172,2078,1830
Cape Verde,Africa,2053,1936,1704
Seychelles,Africa,2005,1320,1059
Saint Lucia,Americas,1972,1765,1617
Zanzibar,Africa,0,0,1724
Antigua and Barbuda,Americas,1692,1471,1370
Guinea-Bissau,Africa,1624,1639,1315
San Marino,Europe,1623,1545,1555
Solomon Islands,Oceania,1601,1645,1546
British Virgin Islands,Americas,0,0,1492
Comoros,Africa,1242,1328,1235
Grenada,Americas,1192,1122,1043
Northern Mariana Islands,Oceania,0,1182,0
Saint Kitts and Nevis,Americas,1115,976,927
Vanuatu,Oceania,984,984,855
Saint Vincent and the Grenadines,Americas,948,890,810
Turks and Caicos Islands,Americas,0,943,925
Sint Maarten,Americas,0,1186,857
Samoa,Oceania,830,788,772
American Samoa,Oceania,0,709,0
Dominica,Americas,599,546,507
São Tomé and Príncipe,Africa,506,547,476
Tonga,Oceania,501,469,491
Micronesia,Oceania,428,404,403
Cook Islands,Oceania,0,0,283
Marshall Islands,Oceania,271,249,244
Anguilla,Americas,0,0,258
Palau,Oceania,226,218,264
Kiribati,Oceania,207,207,181
Nauru,Oceania,134,133,135
Montserrat,Americas,0,0,68
Tuvalu,Oceania,64,63,55
